open,close,volume,turnover,return
17.93,17.71,746136,1332370048,-0.018836565
17.71,17.73,914014,1615350016,0.001129305
17.69,17.36,774277,1348702976,-0.020868584
17.33,16.91,1019432,1742282240,-0.025921659
16.88,16.91,803599,1351767296,0
17.88,16.94,1465693,2530625280,0.001774098
16.88,17.07,1121898,1879278080,0.007674144
16.52,16.15,2052233,3344313088,-0.053895723
16.2,16.33,1247176,2011436032,0.011145511
16.27,16.31,873022,1417365888,-0.00122474
16.1,16.18,960226,1546142336,-0.00797057
16.22,16.25,984443,1601316608,0.004326329
16.29,15.86,1078806,1725434368,-0.024
15.88,16.15,912858,1469683712,0.018284994
16,16.67,1944471,3191885824,0.032198142
16.39,16.23,956049,1565828480,-0.026394721
16.23,16.09,973649,1565571328,-0.008626001
16.11,15.44,1411065,2206603776,-0.040397763
15.43,15.13,1114657,1690862720,-0.02007772
15,15.17,923381,1411179136,0.002643754
15.19,15.29,871957,1313666432,0.007910349
15.4,15.63,1123238,1758471936,0.022236756
15.66,15.99,987549,1563011968,0.02303263
15.8,15.85,507178,805695744,-0.008755472
15.6,15.48,556008,861379136,-0.023343849
15.48,15.13,535140,815924736,-0.022609819
15.15,15.31,429537,655032960,0.011896894
15.42,15.53,428959,664539392,0.014369693
15.58,15.56,388432,605445056,0.001931745
15.66,15.78,390077,614206848,0.014138817
15.7,15.73,375122,592096512,-0.003168568
15.69,15.46,479831,738670656,-0.017164654
15.27,15.55,406974,625196032,0.005821475
15.55,15.86,704464,1118873344,0.019935691
15.8,15.9,492145,783666880,0.002522068
15.95,16.3,813009,1318204800,0.025157233
16.4,16.46,1097808,1805331456,0.009815951
16.46,16.49,709334,1161657600,0.0018226
16.5,16.12,854536,1390873728,-0.022437841
15.31,14.89,655562,985495936,-0.07630273
14.89,15.37,651948,986746176,0.0322364
15.32,15.65,605340,937367104,0.018217306
15.65,15.53,542364,847490048,-0.007667732
15.49,15.53,475023,736175232,0
15.53,15.67,652214,1027260416,0.00901481
15.71,15.57,481478,754545792,-0.006381621
15.61,15.57,476514,748012416,0
15.53,15.43,389459,598626560,-0.008991651
15.38,15.74,798330,1257764480,0.020090732
15.87,16.3,1573013,2553505280,0.035578145
16.35,16.44,895022,1468470784,0.008588957
16.43,16.28,556969,907779840,-0.00973236
16.3,16.38,635959,1040503168,0.006142506
16.45,16.29,600849,979992000,-0.005494505
